frame,fingers,maxContourArea,centerX,centerY,convexDefects,avgAngle,fps,usedMemoryMB,cpuLoad,gesture
0,1,18667.00,541.07,381.84,5,0.00,1.58,16.58,0.0377,Thumbs Up
1,1,17324.00,592.59,386.30,2,0.00,90.91,21.92,0.1089,Thumbs Up
2,1,15096.50,596.90,390.85,2,0.00,90.91,22.80,0.1089,Thumbs Up
3,1,12102.50,601.18,398.86,2,0.00,90.91,23.68,0.1089,Thumbs Up
4,3,8245.50,358.44,276.22,6,61.75,83.33,11.03,0.0602,OK
5,2,7770.00,570.77,128.28,6,77.81,34.48,11.91,0.0602,Rock
6,2,7959.50,571.60,129.27,5,68.31,100.00,13.16,0.0602,Rock
7,3,8369.50,358.37,276.23,6,60.77,90.91,14.04,0.0410,OK
8,3,8628.50,358.07,277.37,7,65.40,37.04,14.92,0.0410,OK
9,3,8775.50,358.77,277.35,6,61.70,83.33,15.80,0.0534,OK
10,3,9163.00,363.23,276.11,8,60.77,90.91,16.94,0.0534,OK
11,2,9725.50,370.05,274.57,6,72.70,83.33,17.82,0.0534,Rock
12,2,9804.00,368.71,274.96,7,13.82,66.67,18.70,0.0447,Rock
13,2,8011.00,570.58,129.83,6,62.65,83.33,19.58,0.0447,Rock
14,2,7942.00,571.38,129.11,5,69.81,71.43,20.68,0.0719,Rock
15,2,7754.00,571.80,128.53,5,69.28,83.33,21.55,0.0719,Rock
16,3,8135.50,361.09,269.79,5,57.12,90.91,22.43,0.0719,OK
17,3,8529.50,360.09,272.10,7,56.38,100.00,23.58,0.0320,OK
18,2,8323.50,357.19,272.35,5,83.55,90.91,24.68,0.0320,Rock
19,3,8414.00,360.55,270.32,6,60.97,90.91,25.55,0.0603,OK
20,1,12470.00,577.10,368.94,3,0.00,90.91,26.43,0.0603,Thumbs Up
21,1,14473.50,571.92,373.34,4,0.00,83.33,27.31,0.0603,Thumbs Up
22,1,15360.00,591.30,375.78,2,0.00,100.00,12.55,0.0348,Thumbs Up
23,1,13147.00,601.91,384.02,1,0.00,111.11,13.43,0.0348,Thumbs Up
24,1,13322.00,601.61,388.03,3,0.00,90.91,14.86,0.0516,Thumbs Up
25,1,11672.50,602.12,395.83,1,0.00,90.91,15.88,0.0516,Thumbs Up
26,1,10284.50,605.85,395.03,3,0.00,100.00,16.75,0.0485,Thumbs Up
27,1,9659.00,606.92,399.62,2,0.00,90.91,17.63,0.0485,Thumbs Up
28,2,8288.50,355.64,271.10,5,83.86,83.33,18.51,0.0485,Rock
29,2,8129.50,355.38,271.45,6,83.18,90.91,19.39,0.0658,Peace
30,1,10713.00,602.21,406.75,5,0.00,111.11,20.27,0.0658,Thumbs Up
31,1,14175.50,600.50,390.75,2,0.00,90.91,21.44,0.0473,Thumbs Up
32,1,15426.50,598.54,388.17,2,0.00,90.91,22.32,0.0473,Thumbs Up
33,1,15071.00,599.07,389.14,2,0.00,83.33,23.26,0.0473,Thumbs Up
34,1,14596.00,598.85,392.66,2,0.00,90.91,24.14,0.0644,Thumbs Up
35,1,16622.00,594.51,383.99,3,0.00,83.33,25.02,0.0644,Thumbs Up
36,1,18036.50,589.46,382.42,3,0.00,100.00,25.90,0.0522,Thumbs Up
37,1,18545.50,587.37,382.54,4,0.00,90.91,27.26,0.0522,Thumbs Up
38,1,18862.50,585.80,379.19,5,0.00,90.91,28.27,0.0522,Thumbs Up
39,1,20122.00,588.52,370.32,3,0.00,90.91,29.15,0.0481,Thumbs Up
40,1,18442.50,586.54,377.81,5,0.00,83.33,30.03,0.0481,Thumbs Up
41,2,18452.00,585.92,376.37,5,29.82,90.91,31.26,0.0481,Rock
42,2,19018.50,586.60,377.36,5,48.99,100.00,32.14,0.0360,Rock
43,1,18645.50,585.46,375.70,6,0.00,100.00,33.02,0.0360,Thumbs Up
44,2,18596.00,583.81,375.89,4,26.61,111.11,33.90,0.0360,Peace
45,2,18672.50,583.50,376.80,5,40.49,90.91,35.26,0.0546,Peace
46,1,18765.50,583.58,376.02,6,0.00,90.91,36.27,0.0546,Thumbs Up
47,2,18851.00,583.97,376.47,5,33.17,90.91,37.15,0.0546,Peace
48,2,19225.50,584.53,377.61,5,37.41,100.00,38.03,0.0659,Rock
49,1,19003.50,583.92,376.66,5,0.00,100.00,39.26,0.0659,Thumbs Up
50,2,18976.00,583.85,377.20,5,80.84,90.91,40.14,0.0659,Rock
51,1,18939.00,583.24,376.95,4,0.00,90.91,41.16,0.0481,Thumbs Up
52,1,19654.50,583.47,376.54,6,0.00,83.33,42.04,0.0481,Thumbs Up
53,1,18984.50,583.36,375.93,6,0.00,100.00,43.26,0.0481,Thumbs Up
54,1,19092.50,583.98,375.70,4,0.00,111.11,44.14,0.0367,Thumbs Up
55,1,18908.50,585.02,375.75,5,0.00,90.91,45.02,0.0367,Thumbs Up
56,1,18849.50,585.06,376.45,5,0.00,100.00,46.03,0.0367,Thumbs Up
57,1,19536.50,585.94,376.13,6,0.00,90.91,47.55,0.0558,Thumbs Up
58,1,19103.50,585.39,374.80,5,0.00,100.00,48.43,0.0558,Thumbs Up
59,1,18969.00,586.43,375.20,5,0.00,66.67,49.31,0.0386,Thumbs Up
60,2,18999.50,585.91,375.37,5,47.27,83.33,50.19,0.0386,Peace
61,2,18641.50,585.72,376.05,4,25.44,100.00,51.26,0.0386,Rock
62,2,18608.00,585.54,376.05,5,51.55,142.86,52.14,0.0509,Peace
63,1,18781.50,584.85,375.03,5,0.00,83.33,53.02,0.0509,Thumbs Up
64,1,19148.00,585.47,374.67,5,0.00,90.91,53.90,0.0509,Thumbs Up
65,2,19184.50,584.57,375.76,5,42.06,83.33,55.55,0.0368,Rock
66,1,19090.50,584.06,373.86,6,0.00,90.91,56.43,0.0368,Thumbs Up
67,1,19260.50,584.39,375.30,4,0.00,83.33,57.31,0.0368,Thumbs Up
68,1,19083.50,583.44,375.12,7,0.00,111.11,58.19,0.0475,Thumbs Up
69,1,19511.50,584.73,374.87,5,0.00,76.92,59.26,0.0475,Thumbs Up
70,2,19884.00,586.76,374.75,4,56.31,83.33,60.14,0.0510,Rock
71,1,19633.00,588.60,375.82,4,0.00,22.73,61.02,0.0510,Thumbs Up
72,1,19092.50,588.65,377.77,4,0.00,83.33,61.90,0.0479,Thumbs Up
73,1,19383.00,588.88,377.07,3,0.00,83.33,63.26,0.0479,Thumbs Up
74,1,19730.50,588.63,374.51,4,0.00,83.33,64.43,0.0623,Thumbs Up
75,1,19452.50,588.84,374.85,4,0.00,4.69,65.31,0.0251,Thumbs Up
76,1,19310.00,589.57,376.57,3,0.00,100.00,66.19,0.0251,Thumbs Up
77,1,19140.50,590.24,376.26,3,0.00,100.00,67.26,0.0251,Thumbs Up
78,1,18073.00,595.29,376.39,4,0.00,111.11,68.14,0.0729,Thumbs Up
79,1,17795.50,596.39,380.49,2,0.00,100.00,69.02,0.0729,Thumbs Up
80,1,18750.00,594.86,379.22,4,0.00,100.00,69.90,0.0729,Thumbs Up
81,1,20929.00,588.85,377.40,3,0.00,100.00,71.26,0.0416,Thumbs Up
82,2,21384.50,590.24,371.56,4,57.78,100.00,72.28,0.0416,Rock
83,1,20617.00,590.62,373.05,3,0.00,90.91,73.45,0.0416,Thumbs Up
84,1,21397.50,589.55,371.51,3,0.00,90.91,74.32,0.0595,Thumbs Up
85,1,22002.00,587.71,370.21,4,0.00,83.33,75.26,0.0595,Thumbs Up
86,1,21658.50,587.71,369.66,4,0.00,100.00,76.14,0.0595,Thumbs Up
