frame,fingers,maxContourArea,centerX,centerY,convexDefects,avgAngle,fps,usedMemoryMB,cpuLoad,gesture
77,2,38330.50,417.57,246.15,10,59.54,90.91,66.63,0.0721,Rock
78,4,37820.50,417.47,242.55,7,76.38,100.00,67.80,0.0721,4 Fingers
79,3,37421.00,417.36,242.74,8,70.06,100.00,68.68,0.0591,OK
80,2,21492.50,107.15,379.34,4,60.31,100.00,69.55,0.0591,Rock
81,3,22062.00,110.49,384.17,4,54.40,90.91,70.50,0.0591,OK
82,1,21248.50,405.89,312.04,4,0.00,100.00,71.38,0.0604,Thumbs Up
83,1,21721.00,408.68,312.69,6,0.00,100.00,72.26,0.0604,Thumbs Up
84,1,21299.50,413.19,316.58,4,0.00,100.00,73.13,0.0604,Thumbs Up
85,1,21119.50,417.54,317.56,4,0.00,166.67,74.79,0.0281,Thumbs Up
86,2,31157.00,369.30,345.89,7,72.04,100.00,75.67,0.0281,Rock
87,3,37344.00,323.54,361.41,8,51.27,100.00,76.54,0.0281,OK
88,1,19905.00,426.16,315.82,5,0.00,90.91,77.42,0.0429,Thumbs Up
89,1,19752.00,427.30,310.07,6,0.00,100.00,78.50,0.0429,Thumbs Up
90,3,37927.00,418.21,234.70,8,66.50,100.00,79.38,0.0429,OK
91,4,35755.00,419.74,232.86,6,70.87,100.00,80.54,0.0788,4 Fingers
92,1,20723.00,433.78,298.54,6,0.00,90.91,81.42,0.0788,Thumbs Up
93,1,20629.00,436.85,296.58,6,0.00,100.00,82.50,0.0788,Thumbs Up
94,4,36239.50,420.78,232.56,6,68.09,100.00,83.38,0.0436,4 Fingers
95,3,54324.50,344.12,297.01,6,66.40,100.00,84.54,0.0436,OK
96,2,21043.50,433.08,311.51,6,84.45,125.00,85.42,0.0436,Rock
97,4,54430.00,295.27,384.03,6,69.17,100.00,86.50,0.0386,4 Fingers
98,4,49298.50,300.60,386.00,7,63.90,100.00,87.51,0.0386,4 Fingers
99,2,37629.00,370.69,380.20,5,49.40,111.11,88.39,0.0386,Rock
100,2,24599.50,176.01,388.22,6,50.56,100.00,89.55,0.0410,Rock
101,2,20082.50,109.80,387.30,5,17.44,100.00,90.50,0.0410,Rock
102,1,18919.50,395.78,352.49,4,0.00,100.00,91.38,0.0410,Thumbs Up
103,1,21474.50,372.25,344.00,4,0.00,90.91,92.26,0.0471,Thumbs Up
104,1,20686.50,370.02,345.86,4,0.00,125.00,93.13,0.0471,Thumbs Up
105,1,20728.50,372.96,348.24,5,0.00,100.00,94.50,0.0471,Thumbs Up
106,1,25736.00,346.63,337.74,4,0.00,100.00,95.38,0.0450,Thumbs Up
107,1,22083.50,304.79,325.91,6,0.00,111.11,96.26,0.0450,Thumbs Up
108,2,18653.50,108.69,375.17,6,61.10,100.00,97.43,0.0450,Rock
109,4,20009.00,124.61,388.22,6,60.69,100.00,14.53,0.0326,4 Fingers
110,4,38946.00,183.13,358.60,5,65.53,100.00,15.39,0.0326,4 Fingers
111,3,28462.00,145.12,375.25,4,69.34,100.00,16.27,0.0326,OK
112,2,21140.50,401.94,159.50,6,81.27,100.00,17.15,0.0392,Rock
113,1,22072.50,401.79,160.36,5,0.00,100.00,18.03,0.0392,Thumbs Up
114,1,26928.50,395.22,187.86,8,0.00,100.00,18.91,0.0392,Thumbs Up
115,2,26951.50,393.31,194.19,6,80.77,100.00,19.79,0.0378,Rock
