frame,fingers,maxContourArea,centerX,centerY,convexDefects,avgAngle,fps,usedMemoryMB,cpuLoad,gesture
0,1,71986.00,729.83,565.31,5,0.00,1.53,16.64,0.0688,Thumbs Up
1,2,70758.00,732.14,561.68,6,57.15,52.63,25.44,0.0745,Rock
2,1,72276.00,732.32,563.74,6,0.00,62.50,29.92,0.0745,Thumbs Up
3,3,71466.00,730.86,558.54,6,75.60,66.67,33.92,0.0745,OK
4,2,79641.00,732.65,548.88,5,35.97,55.56,37.92,0.0639,Peace
5,1,88997.50,720.46,529.13,5,0.00,62.50,41.92,0.0639,Thumbs Up
6,3,87608.50,711.43,521.01,9,83.14,62.50,45.92,0.0639,OK
7,2,90544.00,717.34,523.40,7,50.25,55.56,49.92,0.0580,Peace
8,1,86851.00,722.95,531.38,6,0.00,62.50,53.92,0.0580,Thumbs Up
9,3,82327.00,722.05,534.67,6,72.78,66.67,58.40,0.0505,OK
10,3,89690.00,727.38,528.29,7,53.05,58.82,62.40,0.0505,OK
11,3,89664.00,725.76,529.25,7,57.90,58.82,66.40,0.0505,OK
12,3,84394.50,725.10,540.23,6,70.96,66.67,70.40,0.0500,OK
13,2,79739.00,720.92,545.23,8,78.74,62.50,74.40,0.0500,Rock
14,2,78196.00,716.00,546.74,6,81.29,66.67,78.40,0.0500,Peace
15,2,77370.00,713.78,548.25,7,77.64,66.67,82.40,0.0380,Peace
16,4,96957.00,1089.57,239.84,11,52.35,58.82,86.88,0.0380,4 Fingers
17,3,124796.00,1102.10,248.90,10,56.46,62.50,90.88,0.0380,OK
18,4,129883.00,1102.48,283.91,12,38.20,58.82,94.88,0.0865,4 Fingers
19,4,125926.50,1081.52,403.09,8,49.10,66.67,98.88,0.0865,4 Fingers
20,3,206397.50,906.76,475.63,11,62.34,52.63,102.88,0.0865,OK
21,2,204003.50,901.18,482.36,10,67.34,71.43,107.36,0.0417,Peace
22,1,76116.00,675.58,558.53,6,0.00,71.43,111.36,0.0417,Thumbs Up
23,2,78207.50,690.55,555.84,6,52.15,62.50,115.36,0.0417,Rock
24,1,79188.00,715.95,550.10,5,0.00,62.50,119.36,0.0627,Thumbs Up
25,2,82752.50,738.54,546.05,7,41.33,66.67,123.36,0.0627,Rock
26,3,81898.00,740.12,544.90,6,67.40,66.67,127.36,0.0627,OK
27,3,82787.50,739.87,546.89,6,53.07,71.43,131.36,0.0491,OK
28,2,77533.50,732.35,556.21,6,21.40,58.82,135.84,0.0491,Peace
29,2,75124.50,729.91,553.88,5,70.48,52.63,139.84,0.0576,Rock
30,2,78197.50,734.34,556.01,6,64.94,62.50,143.84,0.0576,Rock
31,2,76198.50,733.68,550.91,6,74.67,47.62,147.84,0.0474,Peace
32,4,77894.00,733.78,549.83,8,47.86,71.43,151.84,0.0474,4 Fingers
33,4,76115.50,733.01,554.89,6,73.10,62.50,155.84,0.0600,4 Fingers
34,1,75768.50,730.08,557.39,5,0.00,62.50,159.84,0.0600,Thumbs Up
35,2,76497.50,730.98,557.11,6,44.61,66.67,163.84,0.0600,Rock
36,2,75446.50,729.56,554.23,6,39.48,62.50,167.84,0.0655,Peace
37,1,76186.50,729.52,557.67,5,0.00,58.82,172.00,0.0655,Thumbs Up
38,2,74167.00,727.93,555.58,5,70.55,66.67,176.00,0.0655,Rock
39,1,76376.00,729.79,558.13,5,0.00,62.50,180.00,0.0438,Thumbs Up
40,1,76206.00,729.95,557.90,5,0.00,45.45,117.47,0.0438,Thumbs Up
41,2,77663.00,731.42,556.09,6,17.66,55.56,121.67,0.0734,Peace
42,2,74625.00,728.54,554.78,5,75.67,55.56,125.67,0.0734,Rock
43,4,75811.00,731.82,552.54,6,57.68,62.50,129.67,0.0734,4 Fingers
44,1,76527.50,730.02,557.15,5,0.00,58.82,134.08,0.0424,Thumbs Up
45,1,76474.00,729.74,557.22,6,0.00,62.50,138.08,0.0424,Thumbs Up
46,2,76970.50,730.44,556.32,6,40.29,58.82,142.08,0.0441,Rock
47,1,75455.50,727.30,557.47,6,0.00,58.82,146.08,0.0441,Thumbs Up
48,2,72791.50,726.40,554.53,6,68.72,76.92,150.08,0.0441,Rock
49,2,76435.00,730.31,556.96,7,76.24,58.82,154.68,0.0445,Rock
50,2,74827.50,729.94,554.20,6,72.22,66.67,158.68,0.0445,Rock
