frame,fingers,maxContourArea,centerX,centerY,convexDefects,avgAngle,fps,usedMemoryMB,cpuLoad,gesture
0,1,7521.00,302.10,234.05,5,0.00,1.76,16.48,0.0432,Thumbs Up
1,2,16140.00,279.71,286.44,6,41.16,83.33,21.92,0.0830,Peace
2,3,26988.00,294.22,313.56,8,50.46,90.91,22.80,0.0830,OK
3,2,30147.00,296.25,319.56,9,57.23,90.91,23.68,0.0830,Rock
4,2,31107.00,294.90,318.38,9,80.84,100.00,13.17,0.0573,Rock
5,1,31495.50,295.79,319.86,6,0.00,90.91,14.46,0.0573,Thumbs Up
6,2,31272.50,296.01,319.33,7,81.44,100.00,15.34,0.0573,Rock
7,1,31709.50,295.62,318.93,7,0.00,100.00,16.22,0.0550,Thumbs Up
8,1,31986.00,295.58,318.35,6,0.00,100.00,17.50,0.0550,Thumbs Up
9,1,31878.50,295.43,319.42,9,0.00,100.00,18.38,0.0550,Thumbs Up
10,2,31785.50,295.29,319.26,9,77.08,100.00,19.69,0.0754,Peace
11,1,31938.00,295.55,319.42,6,0.00,100.00,20.57,0.0754,Thumbs Up
12,1,32118.00,295.69,319.10,6,0.00,100.00,21.45,0.0754,Thumbs Up
13,1,31830.50,296.18,320.59,6,0.00,100.00,22.33,0.0592,Thumbs Up
14,1,32125.50,296.19,320.37,8,0.00,100.00,23.43,0.0592,Thumbs Up
15,2,31948.00,295.89,319.29,8,80.79,100.00,24.31,0.0592,Rock
16,1,32082.00,295.40,319.74,7,0.00,90.91,25.18,0.0389,Thumbs Up
17,2,32543.00,296.54,321.24,9,78.05,100.00,26.33,0.0389,Rock
18,1,32351.50,296.47,320.26,10,0.00,100.00,27.43,0.0389,Thumbs Up
19,2,32218.00,296.90,320.78,10,84.10,90.91,28.31,0.0462,Rock
20,2,32083.00,296.26,320.30,8,82.67,83.33,29.38,0.0462,Rock
21,1,30897.50,294.39,320.50,10,0.00,26.32,30.26,0.0462,Thumbs Up
22,3,27673.00,293.28,313.54,8,58.82,13.33,14.21,0.0411,OK
23,2,28126.00,293.30,312.76,6,25.67,100.00,15.22,0.0411,Rock
24,1,30567.50,294.34,318.23,8,0.00,90.91,16.10,0.0411,Thumbs Up
25,1,30210.00,294.00,319.32,7,0.00,100.00,16.98,0.0387,Thumbs Up
26,2,30060.00,295.43,320.12,5,76.74,71.43,17.86,0.0387,Rock
27,1,30623.50,294.60,318.68,5,0.00,100.00,18.73,0.0387,Thumbs Up
28,1,30952.00,294.80,319.23,7,0.00,125.00,19.83,0.0377,Thumbs Up
29,1,30580.00,294.97,319.72,5,0.00,100.00,20.71,0.0377,Thumbs Up
30,2,30387.00,294.69,319.28,8,81.79,100.00,21.58,0.0377,Rock
31,2,30911.00,296.02,320.32,8,45.49,100.00,22.46,0.0297,Rock
32,3,30073.50,296.15,318.56,7,59.36,100.00,23.34,0.0297,OK
33,1,30893.50,298.28,320.08,5,0.00,90.91,24.99,0.0297,Thumbs Up
34,4,28563.50,297.44,313.69,8,65.08,90.91,25.87,0.0551,4 Fingers
35,3,31183.50,299.58,319.20,6,67.93,100.00,26.95,0.0551,OK
36,2,31489.00,302.28,319.22,5,80.85,100.00,27.83,0.0551,Rock
37,2,31753.50,302.62,320.20,4,59.16,100.00,28.71,0.0438,Rock
38,3,31742.50,302.48,320.37,7,54.40,111.11,29.58,0.0438,OK
39,3,31593.50,301.01,318.75,6,66.89,90.91,30.46,0.0438,OK
40,1,31769.50,300.02,320.18,8,0.00,52.63,31.63,0.0432,Thumbs Up
41,2,31773.50,300.00,320.22,5,63.34,111.11,32.71,0.0432,Rock
42,2,31819.00,299.31,320.64,5,73.76,90.91,33.72,0.0432,Rock
43,1,31988.00,299.60,321.11,8,0.00,100.00,34.60,0.0432,Thumbs Up
44,2,31574.00,299.09,318.82,6,76.07,100.00,35.47,0.0356,Peace
45,2,31814.00,299.75,319.81,6,70.93,100.00,36.71,0.0356,Rock
46,3,30892.50,299.15,319.36,6,73.46,100.00,37.58,0.0356,OK
47,1,31800.50,298.29,319.23,9,0.00,100.00,38.75,0.0652,Thumbs Up
48,1,31888.50,298.29,319.60,9,0.00,90.91,39.63,0.0652,Thumbs Up
49,2,31293.00,298.21,319.49,7,68.48,100.00,40.71,0.0652,Rock
50,2,31780.50,298.67,320.41,7,84.59,100.00,41.72,0.0522,Peace
51,2,31856.00,301.24,321.23,7,40.85,90.91,42.60,0.0522,Peace
52,2,30458.00,301.26,322.14,8,34.24,100.00,43.47,0.0522,Rock
53,2,31863.50,301.09,321.79,6,71.40,100.00,44.98,0.0464,Rock
54,3,31148.50,301.67,323.02,7,34.34,90.91,46.20,0.0464,OK
55,3,31418.00,301.50,321.05,5,52.47,100.00,47.21,0.0464,OK
56,1,31962.50,301.55,321.61,5,0.00,100.00,48.09,0.0714,Thumbs Up
57,3,32043.50,301.09,321.71,6,57.42,100.00,48.97,0.0714,OK
58,1,32152.50,299.38,321.22,7,0.00,90.91,49.85,0.0714,Thumbs Up
59,2,32003.50,298.38,320.80,7,82.71,100.00,51.01,0.0480,Rock
60,1,29153.00,293.53,319.81,8,0.00,90.91,51.89,0.0480,Thumbs Up
61,3,30269.00,392.82,152.63,9,63.95,83.33,52.97,0.0480,OK
62,5,31497.50,381.44,149.12,11,49.62,100.00,53.85,0.0289,Palm
63,5,31143.50,388.49,146.51,9,58.12,90.91,54.95,0.0289,Palm
64,3,15594.00,461.12,174.95,5,76.20,100.00,55.83,0.0289,OK
65,2,8082.50,257.29,345.15,4,54.98,100.00,56.71,0.0426,Rock
66,3,16379.00,460.47,175.17,6,68.62,90.91,57.58,0.0426,OK
67,3,16990.00,451.57,170.70,6,74.77,90.91,58.46,0.0426,OK
68,3,23490.00,407.12,153.82,8,61.99,90.91,59.64,0.0699,OK
69,3,17343.50,459.58,173.98,6,70.32,90.91,60.71,0.0699,OK
70,2,22712.00,415.46,156.43,7,61.31,100.00,61.58,0.0699,Rock
71,2,23170.00,409.32,155.21,6,82.36,90.91,62.60,0.0426,Rock
72,2,17319.50,283.04,293.75,5,41.34,100.00,63.47,0.0426,Peace
73,4,18179.00,284.92,294.31,6,65.29,100.00,64.99,0.0426,4 Fingers
74,3,17879.50,286.97,294.50,6,54.43,100.00,65.87,0.0350,OK
75,4,19777.00,290.09,296.15,6,66.42,100.00,66.75,0.0350,4 Fingers
76,4,19094.50,288.62,294.94,7,67.05,100.00,67.63,0.0350,4 Fingers
77,3,18824.50,288.01,293.68,7,42.34,90.91,68.71,0.0355,OK
78,4,19603.50,289.06,294.55,5,61.08,100.00,69.58,0.0355,4 Fingers
79,3,19093.00,286.10,293.62,4,74.49,100.00,70.46,0.0355,OK
80,3,18622.50,287.30,292.63,6,59.05,100.00,71.63,0.0299,OK
81,3,20072.00,285.12,294.20,6,75.58,100.00,72.71,0.0299,OK
82,3,19266.00,285.14,294.04,7,58.70,100.00,73.58,0.0299,OK
83,2,23287.50,411.02,156.49,7,70.42,100.00,74.60,0.0614,Rock
84,2,17226.50,282.17,292.63,6,45.15,100.00,75.48,0.0614,Rock
85,2,17650.00,282.93,292.58,5,33.51,100.00,76.71,0.0614,Peace
86,2,17981.50,283.72,291.65,6,41.23,100.00,77.87,0.0317,Rock
87,3,21927.50,415.85,159.33,7,73.84,90.91,78.75,0.0317,OK
88,3,17444.00,460.80,173.47,6,67.17,55.56,79.63,0.0475,OK
89,3,23869.00,406.88,151.65,9,53.67,90.91,80.71,0.0475,OK
90,4,23006.00,410.72,150.96,7,77.75,83.33,81.58,0.0475,4 Fingers
91,3,16738.00,458.83,175.79,6,67.48,90.91,82.75,0.0438,OK
92,2,21924.50,416.61,158.18,7,83.16,100.00,83.63,0.0438,Rock
93,3,22931.00,413.20,155.22,8,47.37,111.11,84.71,0.0438,OK
94,3,23541.50,399.60,157.69,8,81.26,90.91,85.58,0.0380,OK
95,2,25375.00,389.77,153.84,10,82.88,100.00,86.75,0.0380,Rock
96,3,17333.00,459.34,172.08,5,77.42,100.00,87.63,0.0380,OK
97,2,22912.50,402.88,158.04,6,78.52,100.00,88.71,0.0276,Rock
98,3,17360.50,459.51,173.58,6,68.59,100.00,89.58,0.0276,OK
99,4,23826.50,405.87,153.97,8,59.48,100.00,90.46,0.0276,4 Fingers
100,3,17179.00,460.49,174.39,6,66.94,100.00,91.63,0.0397,OK
101,5,23727.00,401.59,153.13,7,71.53,100.00,92.71,0.0397,Palm
102,3,24664.50,401.35,151.68,8,53.29,90.91,93.58,0.0397,OK
103,3,17256.00,458.33,173.37,5,76.18,111.11,94.60,0.0346,OK
104,3,17304.00,459.95,172.65,5,75.69,90.91,95.47,0.0346,OK
105,3,16305.50,463.36,176.19,7,66.80,100.00,96.71,0.0346,OK
106,3,17253.00,463.22,174.25,7,69.59,100.00,97.87,0.0440,OK
107,3,17177.50,462.11,176.21,6,70.26,100.00,98.75,0.0440,OK
108,3,24196.50,406.85,153.48,8,62.98,90.91,99.63,0.0440,OK
109,3,17192.00,462.56,173.73,6,66.86,100.00,100.71,0.0547,OK
110,4,26841.50,300.38,311.63,9,47.64,166.67,101.58,0.0547,4 Fingers
111,3,17153.50,462.03,174.65,7,68.00,90.91,102.75,0.0547,OK
112,2,19000.00,295.75,348.60,6,57.45,90.91,103.76,0.0770,Peace
113,3,17317.50,460.38,174.03,6,72.11,90.91,18.05,0.0770,OK
114,4,24628.00,404.83,150.63,8,59.91,90.91,18.05,0.0770,4 Fingers
115,4,24101.00,404.27,155.44,9,56.77,90.91,19.22,0.0717,4 Fingers
116,2,24126.00,404.33,157.21,9,67.48,55.56,20.10,0.0717,Rock
117,3,23919.50,412.41,158.31,9,65.09,55.56,20.98,0.0360,OK
118,2,29392.00,292.70,317.29,8,53.74,45.45,22.34,0.0360,Peace
119,3,28255.00,294.56,311.24,8,66.73,90.91,23.22,0.0431,OK
120,2,28944.50,296.40,318.41,9,30.98,125.00,24.10,0.0431,Peace
121,3,29424.00,296.17,316.07,8,69.47,100.00,24.98,0.0431,OK
122,4,25929.00,292.98,301.83,7,59.31,100.00,25.86,0.0348,4 Fingers
123,3,25181.00,392.44,153.68,9,79.19,90.91,27.22,0.0348,OK
124,5,25356.50,398.39,151.65,11,72.98,100.00,28.10,0.0348,Palm
125,5,23911.00,291.49,300.71,6,48.72,100.00,28.98,0.0389,Palm
126,4,24915.00,292.52,303.18,8,50.78,100.00,29.86,0.0389,4 Fingers
127,5,25450.50,293.48,307.66,9,51.14,90.91,30.73,0.0389,Palm
128,4,21622.00,286.67,295.62,7,43.26,100.00,31.61,0.0397,4 Fingers
129,2,23040.00,413.52,156.96,9,61.96,100.00,32.49,0.0397,Rock
130,5,21154.00,287.17,292.35,8,58.33,100.00,33.37,0.0397,Palm
131,3,22561.50,416.00,156.90,6,81.18,100.00,34.73,0.0700,OK
132,4,24689.50,396.63,152.36,11,58.77,100.00,36.10,0.0700,4 Fingers
133,3,24117.50,407.35,154.63,8,63.31,90.91,36.98,0.0700,OK
134,4,24254.00,400.28,153.66,7,64.70,111.11,37.86,0.0378,4 Fingers
135,4,25743.50,397.41,146.81,7,72.25,100.00,38.73,0.0378,4 Fingers
136,5,22424.00,288.33,297.51,10,41.12,100.00,39.61,0.0378,Palm
137,3,23623.00,402.98,157.16,6,70.89,90.91,40.49,0.0364,OK
138,4,24340.50,290.49,301.29,8,57.33,100.00,41.37,0.0364,4 Fingers
139,2,24324.50,403.54,156.19,7,66.45,100.00,42.73,0.0364,Rock
140,5,26287.50,295.77,310.37,9,51.02,100.00,44.73,0.0363,Palm
141,5,24452.00,401.21,151.44,9,53.31,166.67,44.73,0.0363,Palm
142,3,28156.00,296.98,315.07,7,70.49,90.91,45.61,0.0363,OK
143,3,27976.50,296.30,312.37,5,71.90,100.00,46.73,0.0378,OK
144,3,28979.50,296.89,318.74,8,46.41,90.91,47.61,0.0378,OK
145,2,25905.00,295.69,311.33,5,32.67,100.00,48.98,0.0378,Rock
146,3,28880.00,296.73,318.73,6,53.59,100.00,49.86,0.0386,OK
147,4,25433.50,294.79,314.88,8,42.63,100.00,50.73,0.0386,4 Fingers
148,3,28553.00,296.77,318.81,8,51.64,90.91,51.61,0.0386,OK
149,4,27002.00,296.61,312.96,7,55.72,90.91,52.49,0.0645,4 Fingers
150,4,26756.00,295.72,311.40,8,46.89,111.11,53.37,0.0645,4 Fingers
151,4,27535.00,296.08,312.91,9,42.48,100.00,54.73,0.0645,4 Fingers
152,4,27392.50,295.89,311.56,6,46.46,90.91,55.61,0.0343,4 Fingers
153,3,29079.00,297.49,319.13,9,43.19,100.00,56.49,0.0343,OK
154,3,29953.50,296.74,316.51,8,71.04,100.00,57.37,0.0343,OK
155,3,29912.50,297.86,319.18,8,76.59,125.00,58.73,0.0495,OK
156,5,55283.00,340.04,138.21,11,63.58,100.00,60.10,0.0495,Palm
157,5,46427.00,341.47,140.79,10,73.53,90.91,60.98,0.0495,Palm
158,5,46785.50,342.35,141.69,9,72.84,90.91,61.86,0.0408,Palm
159,5,37041.50,363.63,148.06,10,58.57,100.00,62.73,0.0408,Palm
160,5,34654.00,375.31,151.30,11,39.26,100.00,63.61,0.0408,Palm
161,5,33915.00,376.68,145.84,10,62.29,100.00,64.98,0.0497,Palm
162,3,34725.00,380.62,148.55,11,54.58,90.91,65.86,0.0497,OK
163,4,36328.00,369.63,146.05,9,58.01,90.91,66.73,0.0497,4 Fingers
164,1,32886.50,300.32,320.18,8,0.00,90.91,67.61,0.0380,Thumbs Up
165,4,34550.50,382.58,155.57,10,55.32,111.11,68.49,0.0380,4 Fingers
166,4,33948.00,378.34,147.72,11,64.24,142.86,69.37,0.0380,4 Fingers
167,4,35600.50,371.59,147.46,8,65.31,100.00,71.22,0.0319,4 Fingers
168,2,32660.00,300.22,319.54,9,54.37,100.00,72.10,0.0319,Peace
169,5,35053.00,372.93,150.70,8,67.43,100.00,72.98,0.0319,Palm
170,1,32951.50,300.86,320.94,7,0.00,100.00,73.86,0.0299,Thumbs Up
171,2,33258.50,300.59,322.16,8,66.68,90.91,74.73,0.0299,Peace
172,2,32911.00,299.59,320.31,9,53.47,90.91,75.61,0.0299,Rock
173,1,33257.50,298.28,319.52,6,0.00,100.00,76.49,0.0406,Thumbs Up
174,1,33311.50,298.09,320.15,7,0.00,100.00,77.37,0.0406,Thumbs Up
175,3,32737.00,384.12,148.70,9,53.35,90.91,78.73,0.0406,OK
176,2,31498.00,303.22,322.97,6,58.23,100.00,80.10,0.0270,Rock
177,4,32894.50,379.33,147.49,12,61.48,125.00,80.98,0.0270,4 Fingers
178,5,33323.00,381.93,146.80,11,58.27,90.91,81.86,0.0270,Palm
179,2,32603.00,300.43,321.38,6,84.47,90.91,82.73,0.0392,Rock
180,1,32929.50,296.44,320.95,9,0.00,90.91,83.61,0.0392,Thumbs Up
181,4,33824.50,380.60,145.07,8,52.51,100.00,84.49,0.0392,4 Fingers
182,3,33137.50,384.39,147.90,9,57.25,90.91,85.37,0.0301,OK
183,5,33647.50,377.35,149.30,11,49.84,90.91,87.22,0.0301,Palm
184,4,34051.00,377.64,145.85,10,57.70,83.33,88.10,0.0301,4 Fingers
185,5,35698.50,369.06,147.85,11,58.07,90.91,88.98,0.0380,Palm
186,4,36447.50,373.49,147.10,11,45.56,83.33,89.86,0.0380,4 Fingers
187,1,31410.50,294.15,320.84,5,0.00,100.00,90.73,0.0380,Thumbs Up
188,2,32010.00,295.65,322.24,9,80.59,100.00,91.61,0.0306,Rock
189,2,31361.00,296.58,320.28,9,74.54,90.91,92.49,0.0306,Peace
190,2,31446.50,298.23,320.44,8,80.20,83.33,93.37,0.0306,Rock
191,3,34072.00,369.00,147.86,9,63.82,90.91,95.22,0.0457,OK
192,1,31715.50,296.06,320.79,9,0.00,90.91,96.10,0.0457,Thumbs Up
193,5,31870.00,380.07,145.86,10,61.43,100.00,96.98,0.0457,Palm
194,5,31776.50,378.24,146.99,10,72.41,100.00,97.86,0.0303,Palm
195,2,32049.00,298.48,322.90,6,78.12,90.91,98.73,0.0303,Rock
196,2,31636.50,299.33,322.03,6,72.37,100.00,99.61,0.0303,Rock
197,3,31984.00,378.81,149.36,11,66.07,90.91,100.49,0.0388,OK
198,2,31887.50,297.80,321.62,11,74.84,100.00,101.37,0.0388,Rock
199,2,31976.00,297.75,322.03,8,74.43,100.00,103.22,0.0388,Rock
200,1,31943.00,306.81,320.11,6,0.00,100.00,104.10,0.0332,Thumbs Up
201,2,31159.50,312.87,323.43,10,48.21,100.00,104.98,0.0332,Rock
202,2,31695.50,303.85,322.47,7,56.32,100.00,105.86,0.0332,Rock
203,1,32581.50,297.31,324.33,9,0.00,90.91,106.73,0.0337,Thumbs Up
204,2,32217.00,292.17,324.98,9,82.89,100.00,107.61,0.0337,Rock
205,4,32152.50,380.47,145.51,9,46.28,100.00,108.49,0.0337,4 Fingers
206,5,34291.00,372.11,147.27,10,70.73,100.00,109.37,0.0330,Palm
207,4,32440.50,384.40,145.22,8,60.74,90.91,111.22,0.0330,4 Fingers
208,5,32405.00,385.04,145.93,12,66.35,90.91,112.10,0.0330,Palm
209,2,31696.50,291.25,324.84,6,61.04,100.00,112.98,0.0531,Peace
210,5,32257.50,384.04,148.46,10,59.36,83.33,113.86,0.0531,Palm
211,3,33353.50,375.29,144.85,10,63.84,100.00,114.73,0.0531,OK
212,4,32964.00,378.80,145.90,10,65.56,100.00,115.61,0.0341,4 Fingers
213,4,31077.00,380.51,148.23,10,63.94,83.33,116.49,0.0341,4 Fingers
214,4,32295.00,385.61,143.12,9,65.03,90.91,117.86,0.0341,4 Fingers
215,3,30887.50,389.06,146.51,8,66.21,100.00,118.73,0.0389,OK
216,4,30136.00,386.49,148.74,7,67.38,100.00,119.61,0.0389,4 Fingers
217,4,31497.00,382.47,146.26,10,64.01,125.00,120.49,0.0389,4 Fingers
218,2,30618.50,295.61,326.88,5,62.98,90.91,121.37,0.0371,Rock
219,5,31982.00,382.67,144.94,11,56.45,100.00,122.73,0.0371,Palm
220,3,30007.00,294.09,326.38,8,57.44,100.00,123.61,0.0371,OK
221,4,33332.50,380.26,145.01,11,52.35,100.00,124.98,0.0363,4 Fingers
222,4,30989.50,382.59,146.24,8,64.07,100.00,125.86,0.0363,4 Fingers
223,4,30936.00,384.40,146.70,10,51.82,100.00,126.73,0.0363,4 Fingers
224,3,31553.00,384.72,146.68,10,50.34,90.91,127.61,0.0318,OK
225,2,31469.00,291.39,326.73,6,54.99,100.00,128.49,0.0318,Rock
226,3,30832.50,291.69,327.09,8,56.28,100.00,129.37,0.0318,OK
227,4,31662.00,384.01,146.42,9,58.85,83.33,130.73,0.0369,4 Fingers
228,3,30343.50,394.61,149.52,10,59.72,125.00,132.10,0.0369,OK
229,2,31349.00,292.16,326.47,9,65.02,100.00,132.98,0.0369,Rock
230,4,32204.00,382.84,145.01,10,60.21,90.91,133.86,0.0622,4 Fingers
231,4,31670.50,390.66,146.16,10,49.13,83.33,134.73,0.0622,4 Fingers
232,5,31228.00,387.04,150.06,10,65.95,100.00,135.61,0.0622,Palm
233,4,33240.00,379.64,145.17,11,49.53,100.00,136.49,0.0387,4 Fingers
234,2,32011.50,292.34,327.75,8,54.96,100.00,137.37,0.0387,Rock
235,4,31481.50,385.85,148.13,10,55.91,90.91,139.22,0.0387,4 Fingers
236,5,32991.50,383.31,145.89,10,57.40,100.00,140.10,0.0357,Palm
237,5,31664.00,383.03,148.98,10,69.15,100.00,140.98,0.0357,Palm
238,3,32009.50,385.78,145.81,11,55.33,90.91,141.86,0.0357,OK
239,4,32671.50,388.32,149.14,8,59.03,100.00,142.73,0.0323,4 Fingers
240,5,32023.00,385.35,148.56,10,66.39,100.00,143.61,0.0323,Palm
